02	Neoplasms
                            2B90.3	Malignant neoplasm of sigmoid colon
                                2B90.30	Adenocarcinoma of sigmoid colon
                                2B90.3Y	Other specified malignant neoplasm of sigmoid colon
                                2B90.3Z	Malignant neoplasm of sigmoid colon, unspecified
                            2B90.Y	Other specified malignant neoplasms of colon
                            2B90.Z	Malignant neoplasms of colon, unspecified
                        2B91	Malignant neoplasms of rectosigmoid junction
                            2B91.0	Adenocarcinoma of rectosigmoid junction
                            2B91.Y	Other specified malignant neoplasms of rectosigmoid junction
                            2B91.Z	Malignant neoplasms of rectosigmoid junction, unspecified
                        2B92	Malignant neoplasms of rectum
                            2B92.0	Adenocarcinomas of rectum
                            2B92.1	Neuroendocrine neoplasms of rectum
                            2B92.Y	Other specified malignant neoplasms of rectum
                            2B92.Z	Malignant neoplasms of rectum, unspecified
                        2B93	Malignant neoplasms of large intestine, site unspecified
                            2B93.0	Adenocarcinoma of large intestine, site unspecified
                            2B93.Y	Other specified malignant neoplasms of large intestine, site unspecified
                            2B93.Z	Malignant neoplasms of large intestine, site and type unspecified
                        2B9Y	Other specified malignant neoplasms of large intestine
                    2C00	Malignant neoplasms of anus or anal canal
                        2C00.0	Adenocarcinoma of anus or anal canal
                        2C00.1	Melanoma of anus or anal canal
                        2C00.2	Neuroendocrine neoplasm of anus or anal canal
                        2C00.3	Squamous cell carcinoma of anus or anal canal
                        2C00.Y	Other specified malignant neoplasms of anus and anal canal
                        2C00.Z	Malignant neoplasms of anus or anal canal, unspecified
                    2C0Y	Other specified malignant neoplasms of intestine
                    2C0Z	Malignant neoplasms of intestine, unspecified
                2C10	Malignant neoplasm of pancreas
                    2C10.0	Adenocarcinoma of pancreas
                    2C10.1	Neuroendocrine neoplasms of pancreas
                    2C10.Y	Other specified malignant neoplasms of pancreas
                    2C10.Z	Malignant neoplasm of pancreas, unspecified
                2C11	Malignant neoplasms of other or ill-defined digestive organs
                    2C11.0	Adenocarcinoma of other or ill-defined digestive organs
                    2C11.1	Mucinous carcinoma of other or ill-defined digestive organs
                    2C11.2	Other specified malignant neoplasms of other or ill-defined digestive organs
                    2C11.Z	Malignant neoplasms of other or ill-defined digestive organs, unspecified
                2C12	Malignant neoplasms of liver or intrahepatic bile ducts
                    2C12.0	Malignant neoplasm of liver
                        2C12.00	Combined hepatocellular-cholangiocarcinoma
                        2C12.01	Hepatoblastoma
                        2C12.02	Hepatocellular carcinoma of liver
                        2C12.03	Mesothelial carcinoma of liver
                        2C12.0Y	Other specified malignant neoplasm of liver
                        2C12.0Z	Malignant neoplasm of liver, unspecified
                    2C12.1	Malignant neoplasm of intrahepatic bile ducts
                        2C12.10	Intrahepatic cholangiocarcinoma
                        2C12.1Y	Other specified malignant neoplasms of intrahepatic bile ducts
                        2C12.1Z	Malignant neoplasm of intrahepatic bile ducts, unspecified
                2C13	Malignant neoplasms of gallbladder
                    2C13.0	Adenocarcinoma of the gallbladder
                    2C13.Y	Other specified malignant neoplasm of gallbladder
                    2C13.Z	Malignant neoplasms of gallbladder, unspecified
                2C14	Malignant neoplasms of proximal biliary tract, cystic duct
                    2C14.0	Adenocarcinoma of proximal biliary tract, cystic duct
                    2C14.1	Mucinous cystic neoplasm with associated invasive carcinoma of cystic duct
                    2C14.2	Neuroendocrine neoplasms of cystic duct
                    2C14.Y	Other specified malignant neoplasms of biliary tract, cystic duct
                    2C14.Z	Malignant neoplasms of proximal biliary tract, cystic duct, unspecified
                2C15	Malignant neoplasms of biliary tract, distal bile duct
                    2C15.0	Adenocarcinoma of biliary tract, distal bile duct
                    2C15.1	Mucinous cystic neoplasm with associated invasive carcinoma of distal bile duct
                    2C15.2	Neuroendocrine neoplasms of distal bile duct
                    2C15.Y	Other specified malignant neoplasms of biliary tract, distal bile duct
                    2C15.Z	Malignant neoplasms of biliary tract, distal bile duct, unspecified
                2C16	Malignant neoplasms of ampulla of Vater
                    2C16.0	Adenocarcinoma of ampulla of Vater
                    2C16.1	Neuroendocrine neoplasms of ampulla of Vater
                    2C16.Y	Other specified malignant neoplasms of ampulla of Vater
                    2C16.Z	Malignant neoplasms of ampulla of Vater, unspecified
                2C17	Malignant neoplasms of other or unspecified parts of biliary tract
                    2C17.0	Adenocarcinoma of other or unspecified parts of biliary tract
                    2C17.1	Mucinous cystic neoplasm with associated invasive carcinoma of other or unspecified parts of biliary tract
                    2C17.2	Neuroendocrine neoplasms of other or unspecified parts of biliary tract
                    2C17.Y	Other specified malignant neoplasms of overlapping lesion of biliary tract
                    2C17.Z	Malignant neoplasms of other or unspecified parts of biliary tract, unspecified
                2C18	Malignant neoplasms of perihilar bile duct
                    2C18.0	Hilar cholangiocarcinoma
                    2C18.1	Mucinous cystic neoplasm with associated invasive carcinoma of perihilar bile duct
                    2C18.2	Neuroendocrine neoplasm of perihilar bile duct
                    2C18.Y	Other specified malignant neoplasms of perihilar bile duct
                    2C18.Z	Malignant neoplasms of perihilar bile duct, unspecified
                2C1Z	Malignant neoplasms of digestive organs, unspecified
            	Malignant neoplasms of middle ear, respiratory or intrathoracic organs
                2C20	Malignant neoplasms of nasal cavity
                    2C20.0	Adenocarcinoma of nasal cavity
                    2C20.1	Malignant neuroepitheliomatous neoplasm of nasal cavity
                    2C20.2	Melanoma of nasal cavity
                    2C20.3	Olfactory neuroblastoma
                    2C20.4	Squamous cell carcinoma of nasal cavity
                    2C20.Y	Other specified malignant neoplasm of nasal cavity
                    2C20.Z	Malignant neoplasms of nasal cavity, unspecified
                2C21	Malignant neoplasms of middle ear
                    2C21.0	Adenocarcinoma of middle ear
                    2C21.1	Squamous cell carcinoma of middle ear
                    2C21.2	Unspecified malignant epithelial neoplasm of middle ear
                    2C21.Y	Other specified malignant neoplasm of middle ear
                    2C21.Z	Malignant neoplasms of middle ear, unspecified
                2C22	Malignant neoplasms of accessory sinuses
                    2C22.0	Adenocarcinoma of accessory sinuses
                    2C22.1	Squamous cell carcinoma of accessory sinuses
                        2C22.10	Squamous cell carcinoma of sphenoidal sinus
                        2C22.1Y	Squamous cell carcinoma of other specified accessory sinuses
                    2C22.2	Malignant epithelial neoplasms of accessory sinuses, unspecified type
                    2C22.3	Melanomas of accessory sinuses
                    2C22.Y	Other specified malignant neoplasms of accessory sinuses
                    2C22.Z	Malignant neoplasms of accessory sinuses, unspecified
                2C23	Malignant neoplasms of larynx
                    2C23.1	Malignant neoplasms of glottis of larynx
                        2C23.10	Squamous cell carcinoma of larynx, glottis
                        2C23.1Y	Other specified malignant neoplasms of larynx, glottis
                    2C23.2	Malignant neoplasms of supraglottis of larynx
                        2C23.20	Squamous cell carcinoma of larynx, supraglottis
                        2C23.2Y	Other specified malignant neoplasms of larynx, supraglottis
                    2C23.3	Malignant neoplasms of subglottis of larynx
                        2C23.30	Squamous cell carcinoma of larynx, subglottis
                        2C23.31	Adenocarcinoma of larynx, subglottis
                        2C23.3Y	Other specified malignant neoplasms of larynx, subglottis
                    2C23.4	Malignant neoplasm of laryngeal cartilage
                    2C23.5	Malignant neoplasm of overlapping lesion of larynx
                    2C23.Z	Malignant neoplasms of larynx, unspecified
                2C24	Malignant neoplasms of trachea
                    2C24.0	Adenocarcinoma of trachea
                    2C24.1	Squamous cell carcinoma of trachea
                    2C24.2	Malignant epithelial neoplasms of trachea, unspecified type
                    2C24.Y	Other specified malignant neoplasms of trachea
                    2C24.Z	Malignant neoplasms of trachea, unspecified
                2C25	Malignant neoplasms of bronchus or lung
                    2C25.0	Adenocarcinoma of bronchus or lung
                    2C25.1	Small cell carcinoma of bronchus or lung
                    2C25.2	Squamous cell carcinoma of bronchus or lung
                    2C25.3	Large cell carcinoma of bronchus or lung
                    2C25.4	Carcinoid or other malignant neuroendocrine neoplasms of bronchus or lung
                    2C25.5	Unspecified malignant epithelial neoplasm of bronchus or lung
                    2C25.Y	Other specified malignant neoplasms of bronchus or lung
                    2C25.Z	Malignant neoplasms of bronchus or lung, unspecified
                2C26	Malignant neoplasms of the pleura
                    2C26.0	Mesothelioma of pleura
                    2C26.Y	Other specified malignant neoplasms of the pleura
                    2C26.Z	Malignant neoplasms of the pleura, unspecified
                2C27	Malignant neoplasms of thymus
                    2C27.0	Carcinoma of thymus
                    2C27.1	Carcinoid tumour or other neuroendocrine neoplasms of thymus
                    2C27.2	Malignant thymoma
                    2C27.Y	Other specified malignant neoplasms of thymus
                    2C27.Z	Malignant neoplasms of thymus, unspecified
                2C28	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura
                    2C28.0	Malignant germ cell neoplasms of heart, mediastinum or non-mesothelioma of pleura
                    2C28.1	Other specified malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura
                    2C28.Z	Malignant neoplasms of heart, mediastinum or non-mesothelioma of pleura, unspecified
                2C29	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs
                    2C29.0	Squamous cell carcinomas of other and ill-defined sites in the respiratory system and intrathoracic organs
                    2C29.1	Other specified malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs
                    2C29.Z	Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs, unspecified
                2C2Y	Other specified malignant neoplasms of middle ear, respiratory or intrathoracic organs
                2C2Z	Malignant neoplasms of middle ear, respiratory or intrathoracic organs, unspecified
            	Malignant neoplasms of skin
                2C30	Melanoma of skin
                    2C30.0	Superficial spreading melanoma, primary
                    2C30.1	Nodular melanoma, primary
                    2C30.2	Lentigo maligna melanoma, primary
                    2C30.3	Acral lentiginous melanoma, primary
                    2C30.Y	Other specified melanoma of skin
                    2C30.Z	Melanoma of skin, unspecified
                2C31	Squamous cell carcinoma of skin
                    2C31.0	Verrucous squamous cell carcinoma of skin
                    2C31.1	Keratoacanthoma
                    2C31.Z	Cutaneous squamous cell carcinoma
                2C32	Basal cell carcinoma of skin
                    2C32.0	Nodular basal cell carcinoma of skin
                    2C32.1	Sclerosing basal cell carcinoma of skin
                    2C32.2	Superficial basal cell carcinoma of skin
                    2C32.Y	Other specified basal cell carcinoma of skin
                    2C32.Z	Basal cell carcinoma of skin, unspecified
                2C33	Adnexal carcinoma of skin
                2C34	Cutaneous neuroendocrine carcinoma
                2C35	Cutaneous sarcoma
                2C3Y	Other specified malignant neoplasms of skin
                2C3Z	Malignant neoplasm of skin of unknown or unspecified type
            	Malignant neoplasms of peripheral nerves or autonomic nervous system
                2C40	Malignant neuroepitheliomatous neoplasms of peripheral nerves or autonomic nervous system
                2C41	Malignant perineurioma
                2C4Y	Other specified malignant neoplasms of peripheral nerves and autonomic nervous system
                2C4Z	Malignant neoplasms of peripheral nerves or autonomic nervous system, unspecified
            	Malignant neoplasms of retroperitoneum, peritoneum or omentum
                2C50	Malignant neoplasms of retroperitoneum
                    2C50.0	Cystic, mucinous or serous carcinoma of retroperitoneum
                    2C50.Y	Other specified malignant neoplasms of retroperitoneum
                    2C50.Z	Malignant neoplasms of retroperitoneum, unspecified
                2C51	Malignant neoplasms of peritoneum
                    2C51.0	Adenocarcinomas of peritoneum
                    2C51.1	Cystic, mucinous or serous carcinoma of peritoneum
                    2C51.2	Mesotheliomas of peritoneum
                        2C51.20	Mesothelioma of mesocolon
                        2C51.21	Mesothelioma of mesentery
                        2C51.2Y	Mesotheliomas of other specified sites of peritoneum
                        2C51.2Z	Mesotheliomas of peritoneum, site unspecified
                    2C51.Y	Other specified malignant neoplasms of peritoneum
                    2C51.Z	Malignant neoplasms of peritoneum, unspecified
                2C52	Malignant neoplasms of omentum
                    2C52.0	Cystic, mucinous or serous carcinoma of omentum
                    2C52.Y	Other specified malignant neoplasms of omentum
                    2C52.Z	Malignant neoplasms of omentum, unspecified
                2C53	Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum
                    2C53.0	Adenocarcinoma involving overlapping sites of retroperitoneum, peritoneum or omentum
                    2C53.1	Mesothelioma involving overlapping sites of retroperitoneum, peritoneum or omentum
                    2C53.Y	Other specified malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum
                    2C53.Z	Malignant neoplasm involving overlapping sites of retroperitoneum, peritoneum or omentum, unspecified
                2C5Y	Other specified malignant neoplasms of retroperitoneum, peritoneum or omentum
                2C5Z	Malignant neoplasms of retroperitoneum, peritoneum or omentum, unspecified
            	Malignant neoplasms of breast
                2C60	Carcinoma of breast, specialised type
                2C61	Invasive carcinoma of breast
                    2C61.0	Invasive ductal carcinoma of breast
                    2C61.1	Invasive lobular carcinoma of breast
                    2C61.2	Invasive pleomorphic lobular carcinoma of breast
                    2C61.3	Invasive carcinoma of breast with mixed ductal and lobular features
                    2C61.4	Invasive carcinoma of breast, unidentifiable type
                2C62	Inflammatory carcinoma of breast
                2C63	Malignant phyllodes tumour of breast
                2C64	Solid papillary carcinoma of breast with evidence of invasion
                2C65	Hereditary breast and ovarian cancer syndrome
                2C6Y	Other specified malignant neoplasms of breast
                2C6Z	Malignant neoplasms of breast, unspecified
            	Malignant neoplasms of female genital organs
                2C70	Malignant neoplasms of vulva
                    2C70.0	Basal cell carcinoma of vulva
                    2C70.1	Melanoma of vulva
                    2C70.2	Squamous cell carcinoma of vulva
                    2C70.Y	Other specified malignant neoplasms of vulva
                    2C70.Z	Malignant neoplasms of vulva, unspecified
                2C71	Malignant neoplasms of vagina
                    2C71.0	Adenocarcinoma of vagina
                    2C71.1	Melanoma of vagina
                    2C71.2	Squamous cell carcinoma of vagina
                    2C71.Y	Other specified malignant neoplasms of vagina
                    2C71.Z	Malignant neoplasms of vagina, unspecified
                2C72	Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa
                    2C72.0	Adenocarcinoma of uterine ligament, parametrium, or uterine adnexa
                    2C72.1	Mucinous or serous carcinoma of uterine ligament, parametrium, or uterine adnexa
                    2C72.3	Carcinosarcomas of uterine ligament, parametrium, or uterine adnexa
                    2C72.Y	Other specified malignant neoplasms of uterine ligament, parametrium, and uterine adnexa
                    2C72.Z	Malignant neoplasms of uterine ligament, parametrium, or uterine adnexa, unspecified
                2C73	Malignant neoplasms of ovary
                    2C73.0	Carcinomas of ovary
                        2C73.00	Clear cell adenocarcinoma of ovary
                        2C73.01	Endometrioid adenocarcinoma of ovary
                        2C73.02	Low grade serous adenocarcinoma of ovary
                        2C73.03	High grade serous adenocarcinoma of ovary
                        2C73.04	Mucinous adenocarcinoma of ovary
                        2C73.0Y	Other specified carcinomas of ovary
                        2C73.0Z	Carcinomas of ovary, unspecified
                    2C73.1	Dysgerminoma of ovary
                    2C73.2	Granulosa cell malignant tumour of ovary
                    2C73.3	Malignant teratoma of ovary
                    2C73.4	Serous cystadenoma, borderline malignancy of ovary
                    2C73.5	Endodermal sinus tumour, unspecified site, female
                    2C73.Y	Other specified malignant neoplasms of the ovary
                    2C73.Z	Malignant neoplasms of ovary, unspecified
                2C74	Malignant neoplasms of fallopian tube
                    2C74.0	Adenocarcinoma of fallopian tube
                    2C74.Y	Other specified malignant neoplasms of fallopian tube
                    2C74.Z	Malignant neoplasms of fallopian tube, unspecified
                2C75	Malignant neoplasms of placenta
                    2C75.0	Malignant trophoblastic neoplasms of placenta
                    2C75.Y	Other specified malignant neoplasms of placenta
                    2C75.Z	Malignant neoplasms of placenta, unspecified
                2C76	Malignant neoplasms of corpus uteri
                    2C76.0	Endometrial endometrioid adenocarcinoma
                    2C76.1	Endometrial mucinous adenocarcinoma
                    2C76.2	Endometrial clear cell adenocarcinoma
                    2C76.3	Endometrial serous adenocarcinoma
                    2C76.4	Endometrial mixed adenocarcinoma
                        2C76.40	Endometrial squamous cell carcinoma
                        2C76.41	Endometrial small cell carcinoma
                        2C76.42	Endometrial undifferentiated carcinoma
                        2C76.43	Carcinosarcoma of uterus
                        2C76.4Z	Endometrial mixed adenocarcinoma, unspecified
                    2C76.Y	Other specified malignant neoplasms of corpus uteri
                    2C76.Z	Malignant neoplasms of corpus uteri, unspecified
                2C77	Malignant neoplasms of cervix uteri
                    2C77.0	Squamous cell carcinoma of cervix uteri
                    2C77.1	Adenocarcinoma of cervix uteri
                    2C77.2	Adenosquamous carcinoma of cervix uteri
                    2C77.3	Neuroendocrine carcinoma of cervix uteri
                    2C77.Y	Other specified malignant neoplasms of cervix uteri
                    2C77.Z	Malignant neoplasms of cervix uteri, unspecified
                2C78	Malignant neoplasms of uterus, part not specified
                2C79	Malignant neoplasm involving overlapping sites of female genital organs
                2C7Y	Other specified malignant neoplasms of female genital organs
                2C7Z	Malignant neoplasms of female genital organs, unspecified
            	Malignant neoplasms of male genital organs
                2C80	Malignant neoplasms of testis
                    2C80.2	Germ cell tumour of testis
                    2C80.Y	Other specified malignant neoplasms of testis
                    2C80.Z	Malignant neoplasms of testis, unspecified
                2C81	Malignant neoplasms of penis
                    2C81.0	Squamous cell carcinoma of penis
                    2C81.1	Melanoma of penis
                    2C81.Y	Other specified malignant neoplasm of penis
                    2C81.Z	Malignant neoplasms of penis, unspecified
                2C82	Malignant neoplasms of prostate
                    2C82.0	Adenocarcinoma of prostate
                    2C82.Y	Other specified malignant neoplasms of prostate
                    2C82.Z	Malignant neoplasms of prostate, unspecified
                2C83	Malignant neoplasms of scrotum
                    2C83.0	Squamous cell carcinoma of scrotum
                    2C83.Y	Other specified malignant neoplasms of scrotum
                    2C83.Z	Malignant neoplasms of scrotum, unspecified
                2C84	Malignant neoplasms of other specified male genital organs
                2C8Z	Malignant neoplasms of male genital organs, unspecified
            	Malignant neoplasms of urinary tract
                2C90	Malignant neoplasms of kidney, except renal pelvis
                    2C90.0	Renal cell carcinoma of kidney, except renal pelvis
                    2C90.Y	Other specified malignant neoplasms of kidney, except renal pelvis
                    2C90.Z	Malignant neoplasms of kidney, except renal pelvis, unspecified
                2C91	Malignant neoplasms of renal pelvis
                    2C91.0	Urothelial carcinoma of renal pelvis
                    2C91.Y	Other specified malignant neoplasms of renal pelvis
                    2C91.Z	Malignant neoplasms of renal pelvis, unspecified
                2C92	Malignant neoplasms of ureter
                    2C92.0	Urothelial carcinoma of ureter
                    2C92.Y	Other specified malignant neoplasms of ureter
                    2C92.Z	Malignant neoplasms of ureter, unspecified
                2C93	Malignant neoplasms of urethra or paraurethral gland
                    2C93.0	Adenocarcinoma of urethra or paraurethral gland
                    2C93.1	Squamous cell carcinoma of urethra or paraurethral gland
                    2C93.2	Urothelial carcinoma of urethra or paraurethral gland
                    2C93.Y	Other specified malignant neoplasms of urethra and paraurethral gland
                    2C93.Z	Malignant neoplasms of urethra or paraurethral gland, unspecified
                2C94	Malignant neoplasms of bladder
                    2C94.0	Adenocarcinoma of urinary bladder
                    2C94.1	Squamous cell carcinoma of urinary bladder
                    2C94.2	Urothelial carcinoma of bladder
                    2C94.Y	Other specified malignant neoplasms of bladder
                    2C94.Z	Malignant neoplasms of bladder, unspecified
                2C95	Malignant neoplasm involving overlapping sites of urinary organs
                    2C95.0	Adenocarcinoma involving overlapping sites of urinary organs
                    2C95.1	Squamous cell carcinomas involving overlapping sites of urinary organs
                    2C95.2	Urothelial carcinoma involving overlapping sites of urinary organs
                    2C95.Y	Other specified malignant neoplasms of overlapping lesion of urinary organs
                    2C95.Z	Malignant neoplasm involving overlapping sites of urinary organs, unspecified
                2C9Y	Other specified malignant neoplasms of urinary tract
                2C9Z	Malignant neoplasms of urinary tract, unspecified
            	Malignant neoplasms of eye or ocular adnexa
                2D00	Malignant neoplasm of conjunctiva
                    2D00.0	Melanoma of conjunctiva
                    2D00.1	Malignant neoplasm of caruncle
                    2D00.2	Squamous cell carcinoma of conjunctiva
                    2D00.Y	Other specified malignant neoplasm of conjunctiva
                    2D00.Z	Malignant neoplasm of conjunctiva, unspecified
                2D01	Malignant neoplasm of cornea
                    2D01.0	Melanoma of cornea
                    2D01.1	Squamous cell carcinoma of cornea
                    2D01.Y	Other specified malignant neoplasms of cornea
                    2D01.Z	Malignant neoplasm of cornea, unspecified
                2D02	Malignant neoplasm of retina
                    2D02.0	Adenocarcinoma of retinal pigment epithelium
                    2D02.1	Malignant neuroepithelial tumours of retina
                    2D02.2	Retinoblastoma
                    2D02.Y	Other specified malignant neoplasm of retina
                    2D02.Z	Malignant neoplasm of retina, unspecified
                2D03	Malignant neoplasm of lacrimal apparatus
                    2D03.0	Adenocarcinoma of the lacrimal apparatus
                    2D03.1	Mucoepidermoid carcinoma of lacrimal apparatus
                    2D03.2	Squamous cell carcinoma of the lacrimal apparatus
                    2D03.Y	Other specified malignant neoplasm of lacrimal apparatus
                    2D03.Z	Malignant neoplasm of lacrimal apparatus, unspecified
                2D04	Malignant neoplasm of orbit
                2D05	Malignant neoplasm of choroid
                    2D05.0	Melanoma of choroid
                    2D05.Y	Other specified malignant neoplasm of choroid
                    2D05.Z	Malignant neoplasm of choroid, unspecified
                2D06	Malignant neoplasm of ciliary body
                    2D06.0	Adenocarcinoma of ciliary epithelium
                    2D06.1	Malignant medulloepithelioma of ciliary body
                    2D06.3	Malignant neuroepithelial tumours of ciliary body
                    2D06.4	Melanoma of ciliary body
                    2D06.Y	Other specified malignant neoplasm of ciliary body
                    2D06.Z	Malignant neoplasm of ciliary body, unspecified
                2D07	Malignant neoplasm of iris
                    2D07.0	Adenocarcinoma of iris epithelium
                    2D07.1	Malignant neuroepithelial tumours of iris
                    2D07.2	Melanoma of iris
                    2D07.Y	Other specified malignant neoplasm of iris
                    2D07.Z	Malignant neoplasm of iris, unspecified
                2D0Y	Other specified malignant neoplasms of eye and ocular adnexa
                2D0Z	Malignant neoplasms of eye or ocular adnexa, unspecified
            	Malignant neoplasms of endocrine glands
                2D10	Malignant neoplasms of thyroid gland
                    2D10.0	Follicular carcinoma of thyroid gland
                    2D10.1	Papillary carcinoma of thyroid gland
                    2D10.2	Poorly differentiated carcinoma of thyroid gland
                    2D10.3	Undifferentiated carcinoma of thyroid gland
                    2D10.4	Medullary carcinoma of thyroid gland
                    2D10.Y	Other specified malignant neoplasms of thyroid gland
                    2D10.Z	Malignant neoplasms of thyroid gland, unspecified
                2D11	Malignant neoplasms of adrenal gland
                    2D11.0	Adenocarcinoma of adrenal gland
                    2D11.1	Malignant phaeochromocytoma of adrenal gland
                    2D11.2	Neuroblastoma of adrenal gland
                    2D11.Y	Other specified malignant neoplasms of adrenal gland
                    2D11.Z	Malignant neoplasms of adrenal gland, unspecified
                2D12	Malignant neoplasms of other endocrine glands or related structures
                    2D12.0	Malignant epithelial neoplasms of other endocrine glands or related structures, unspecified type
                    2D12.1	Adenocarcinoma of other endocrine glands or related structures
                    2D12.Y	Other specified malignant neoplasms of other endocrine glands or related structures
                    2D12.Z	Malignant neoplasms of other endocrine glands or related structures, unspecified
                2D1Z	Malignant neoplasms of endocrine glands, unspecified
            2D3Y	Other specified malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues
            2D3Z	Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues, unspecified
        	Malignant neoplasms of ill-defined or unspecified primary sites
            2D40	Adenocarcinoma of unspecified site
            2D41	Unspecified carcinoma of unspecified site
            2D42	Malignant neoplasms of ill-defined sites
            2D43	Malignant neoplasms of independent, multiple primary sites
            2D44	Malignant neoplasm, primary site unknown, so stated
            2D4Y	Other specified malignant neoplasms of unspecified primary sites
            2D4Z	Unspecified malignant neoplasms of unspecified sites
        	Malignant neoplasm metastases
            2D50	Malignant neoplasm metastasis in brain
            2D51	Malignant neoplasm metastasis in meninges
            2D52	Malignant neoplasm metastasis in spinal cord, cranial nerves or remaining parts of central nervous system
            	Malignant neoplasm metastasis in lymph nodes
                2D60	Malignant neoplasm metastasis in lymph node of a single region
                    2D60.0	Malignant neoplasm metastasis in lymph nodes of head, face or neck
                    2D60.1	Malignant neoplasm metastasis in intrathoracic lymph nodes
                    2D60.2	Malignant neoplasm metastasis in intra-abdominal lymph nodes
                    2D60.3	Malignant neoplasm metastasis in axillary lymph nodes
                    2D60.4	Malignant neoplasm metastasis in inguinal lymph nodes
                    2D60.5	Malignant neoplasm metastasis in intrapelvic lymph nodes
                    2D60.Y	Other specified malignant neoplasm metastasis in lymph node of a single region
                    2D60.Z	Malignant neoplasm metastasis in lymph node of a single region, unspecified
                2D61	Malignant neoplasm metastases in lymph nodes of multiple regions
                2D6Z	Metastatic malignant neoplasm to unspecified lymph node
            	Malignant neoplasm metastasis in thoracic or respiratory organs
                2D70	Malignant neoplasm metastasis in lung
                2D71	Malignant neoplasm metastasis in mediastinum
                2D72	Malignant neoplasm metastasis in pleura
                2D73	Malignant neoplasm metastasis in upper respiratory tract organs
                2D7Y	Malignant neoplasm metastasis in other specified thoracic organs
                2D7Z	Malignant neoplasm metastasis in thoracic or respiratory organs, unspecified
            	Malignant neoplasm metastasis in digestive system
                2D80	Malignant neoplasm metastasis in liver or intrahepatic bile duct
                    2D80.0	Malignant neoplasm metastasis in liver
                    2D80.1	Malignant neoplasm metastasis in intrahepatic bile duct
                2D81	Malignant neoplasm metastasis in pancreas
                2D82	Malignant neoplasm metastasis in extrahepatic bile ducts
                2D83	Malignant neoplasm metastasis in ampulla of Vater
                2D84	Malignant neoplasm metastasis in the small intestine
                2D85	Malignant neoplasm metastasis in large intestine
                2D86	Malignant neoplasm metastasis in anus
                2D8Y	Malignant neoplasm metastasis in other specified digestive system organ
                2D8Z	Malignant neoplasm metastasis in unspecified digestive system organ
            	Malignant neoplasm metastasis in retroperitoneum or peritoneum
                2D90	Malignant neoplasm metastasis in retroperitoneum
                2D91	Malignant neoplasm metastasis in peritoneum
            	Malignant neoplasm metastasis in other sites
                2E00	Malignant neoplasm metastasis in kidney or renal pelvis
                2E01	Malignant neoplasm metastasis in bladder
                2E02	Malignant neoplasm metastasis in other or unspecified urinary system organs
                2E03	Malignant neoplasm metastasis in bone or bone marrow
                2E04	Malignant neoplasm metastasis in soft tissue
                2E05	Malignant neoplasm metastasis in female reproductive system
                    2E05.0	Malignant neoplasm metastasis in ovary
                    2E05.Y	Malignant neoplasm metastasis in other female reproductive system organs
                    2E05.Z	Malignant neoplasm metastasis in female reproductive system, unspecified
                2E06	Malignant neoplasm metastasis in male genital organs
                2E07	Malignant neoplasm metastasis in adrenal gland
                2E08	Metastatic malignant neoplasm involving skin
                2E09	Malignant neoplasm metastasis in peripheral nervous system
                2E0Y	Malignant neoplasm metastasis in other specified sites
            2E2Z	Malignant neoplasm metastasis, unspecified
    	In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues
        2E60	Carcinoma in situ of oral cavity, oesophagus or stomach
            2E60.0	Carcinoma in situ of lip, oral cavity or pharynx
            2E60.1	Carcinoma in situ of oesophagus
            2E60.2	Carcinoma in situ of stomach
        2E61	Carcinoma in situ of other or unspecified digestive organs
            2E61.0	Carcinoma in situ of colon
            2E61.1	Carcinoma in situ of rectum
            2E61.2	Carcinoma in situ of anal canal
            2E61.3	Carcinoma in situ of gallbladder, biliary tract or ampulla of Vater
            2E61.Y	Carcinoma in situ of other specified digestive organs
            2E61.Z	Carcinoma in situ of unspecified digestive organs
        2E62	Carcinoma in situ of middle ear or respiratory system
            2E62.0	Carcinoma in situ of larynx
            2E62.1	Carcinoma in situ of trachea
            2E62.2	Carcinoma in situ of bronchus or lung
            2E62.Y	Carcinoma in situ of other specified sites of middle ear and respiratory system
            2E62.Z	Carcinoma in situ of unspecified sites of middle ear and respiratory system
        2E63	Melanoma in situ neoplasms
            2E63.0	Melanoma in situ of skin
                2E63.00	Lentigo maligna
                2E63.0Z	Melanoma in situ of skin, unspecified
            2E63.1	Melanoma in situ of conjunctiva
            2E63.Y	Melanoma in situ neoplasms, other specified site
            2E63.Z	Melanoma in situ neoplasms, unspecified site
        2E64	Carcinoma in situ of skin
            2E64.0	Intraepidermal squamous cell carcinoma
                2E64.00	Bowen disease of skin
                2E64.01	Actinic intraepidermal squamous cell carcinoma
